,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
374,wajima,JP,37.4,136.9,36.52,90,100,18.72,1607964271
375,machiques,VE,10.06,-72.55,85.8,54,91,2.95,1607964271
376,santa marta,CO,11.24,-74.2,84.99,72,100,1.01,1607964089
377,belyy yar,RU,53.6,91.39,19.4,67,0,11.18,1607964272
378,mugumu,TZ,-1.85,34.7,63.81,88,22,3.53,1607964272
379,bam,IR,29.11,58.36,44.71,49,0,1.63,1607964272
380,sarmanovo,RU,55.26,52.59,12.2,66,0,15.66,1607964272
381,phan thiet,VN,10.93,108.1,75.6,88,100,6.02,1607964272
382,narsaq,GL,60.92,-46.05,42.8,35,75,19.46,1607964272
383,leninogorsk,RU,54.6,52.46,7.72,91,21,7.83,1607964273
384,lorengau,PG,-2.02,147.27,82.71,73,82,2.44,1607964273
